C0000727,ICD10CM,R10.0
C0000727,ICD10,R10.0
C0000737,ICD10CM,R10.9
C0000737,ICD9CM,789.00
C0000737,ICD9CM,789.0
C0000744,ICD10CM,E78.6
C0000768,ICD10,Q89.9
C0000768,ICD10CM,Q89.9
C0000768,ICD9CM,759.9
C0000768,ICD9CM,740-759.99
C0000772,ICD10CM,Q89.7
C0000786,ICD10,O03
C0000786,ICD9CM,634
C0000786,ICD10CM,O03.9
C0000786,ICD10CM,O03
C0000809,ICD10,N96
C0000821,ICD9CM,640.0
C0000821,ICD9CM,640.03
C0000821,ICD10,O20.0
C0000821,ICD10CM,O20.0
C0000822,ICD10CM,O00.1
C0000832,ICD10CM,O45.90
C0000832,ICD9CM,641.2
C0000832,ICD10,O45.9
C0000832,ICD10,O45
C0000832,ICD9CM,641.20
C0000832,ICD10CM,O45
C0000832,ICD10CM,O45.9
C0000889,ICD10CM,L83
C0000889,ICD10,L83
C0000921,ICD10CM,W19
C0000921,ICD9CM,E880-E888.9
C0001075,ICD9CM,536.0
C0001075,ICD10CM,K31.83
C0001079,ICD10,Q77.0
C0001079,ICD10CM,Q77.0
C0001080,ICD10,Q77.4
C0001080,ICD10CM,Q77.4
C0001122,ICD10,E87.2
C0001122,ICD10CM,E87.2
C0001122,ICD9CM,276.2
C0001125,ICD10CM,E87.2
C0001126,ICD10CM,N25.89
C0001127,ICD10CM,E87.2
C0001144,ICD10CM,L70.0
C0001144,ICD10,L70.0
C0001145,ICD10,L73.0
C0001145,ICD10CM,L73.0
C0001175,ICD10CM,B20
C0001193,ICD10CM,Q87.0
C0001231,ICD10,E24.3
C0001231,ICD10CM,E24.3
C0001261,ICD9CM,039.9
C0001261,ICD10,A42
C0001261,ICD10,A42.9
C0001261,ICD10CM,A42.9
C0001261,ICD9CM,039
C0001261,ICD10CM,A42
C0001306,ICD9CM,571.1
C0001308,ICD9CM,570
C0001311,ICD10,J21.9
C0001311,ICD9CM,466.1
C0001311,ICD10,J21
C0001311,ICD10CM,J21
C0001311,ICD10CM,J21.9
C0001339,ICD10CM,K85.9
C0001339,ICD9CM,577.0
C0001339,ICD10CM,K85
C0001339,ICD10,K85
C0001342,ICD9CM,523.3
C0001342,ICD9CM,523.33
C0001342,ICD10,K05.2
C0001344,ICD10,J02
C0001344,ICD10,J02.9
C0001344,ICD10CM,J02
C0001344,ICD9CM,462
C0001344,ICD10CM,J02.9
C0001361,ICD10CM,J03.90
C0001361,ICD10CM,J03.9
C0001361,ICD9CM,463
C0001361,ICD10,J03
C0001361,ICD10,J03.9
C0001361,ICD10CM,J03
C0001363,ICD9CM,557.0
C0001403,ICD10,E27.1
C0001403,ICD10CM,E27.1
C0001486,ICD10,B34.0
C0001486,ICD10CM,B34.0
C0001529,ICD10CM,E88.2
C0001539,ICD10CM,F43.21
C0001539,ICD9CM,309.0
C0001546,ICD10CM,F43.2
C0001546,ICD10CM,F43.20
C0001546,ICD10,F43.2
C0001621,ICD9CM,255
C0001621,ICD10,E27.9
C0001621,ICD10CM,E27.9
C0001621,ICD9CM,255.9
C0001627,ICD10CM,E25.0
C0001723,ICD10CM,F39
C0001815,ICD9CM,238.76
C0001815,ICD10CM,D47.4
C0001816,ICD10,R48.1
C0001816,ICD10CM,R48.1
C0001818,ICD10CM,F40.00
C0001818,ICD10,F40.0
C0001818,ICD10CM,F40.0
C0001824,ICD10,D70
C0001824,ICD10CM,D70
C0001825,ICD10CM,R48.8
C0001849,ICD10,F02.4
C0001857,ICD10CM,B20
C0001916,ICD10CM,E70.30
C0001916,ICD10,E70.3
C0001916,ICD10CM,E70.3
C0001925,ICD10CM,R80.9
C0001948,ICD10,Z72.1
C0001957,ICD10,F10.4
C0001957,ICD9CM,291.0
C0001973,ICD10CM,F10.2
C0001973,ICD10,F10.2
C0001973,ICD9CM,303
C0002018,ICD9CM,315.01
C0002063,ICD9CM,276.3
C0002063,ICD10,E87.3
C0002063,ICD10CM,E87.3
C0002064,ICD10CM,E87.3
C0002066,ICD10CM,E70.29
C0002170,ICD10CM,L65.9
C0002170,ICD9CM,704.00
C0002170,ICD9CM,704.0
C0002171,ICD10,L63.9
C0002171,ICD10CM,L63.9
C0002171,ICD9CM,704.01
C0002171,ICD10,L63
C0002171,ICD10CM,L63
C0002312,ICD9CM,282.43
C0002312,ICD10CM,D56.0
C0002312,ICD10,D56.0
C0002351,ICD10CM,T70.29
C0002390,ICD9CM,495.9
C0002390,ICD9CM,495
C0002390,ICD10CM,J67.9
C0002395,ICD9CM,331.0
C0002395,ICD10,G30.9
C0002395,ICD10,G30
C0002395,ICD10CM,G30
C0002395,ICD10CM,G30.9
C0002418,ICD9CM,368.00
C0002418,ICD10CM,H53.00
C0002438,ICD10CM,A06
C0002438,ICD10CM,A06.9
C0002438,ICD10,A06.9
C0002438,ICD9CM,006
C0002438,ICD9CM,006.9
C0002438,ICD10,A06
C0002447,ICD10CM,Q73.0
C0002447,ICD10,Q73.0
C0002452,ICD10CM,K00.5
C0002453,ICD9CM,626.0
C0002453,ICD10CM,N91.2
C0002453,ICD10,N91.2
C0002514,ICD10,E72.9
C0002514,ICD9CM,270.9
C0002514,ICD10CM,E72.9
C0002514,ICD9CM,270
C0002622,ICD10CM,R41.3
C0002624,ICD10CM,R41.2
C0002624,ICD10,R41.2
C0002625,ICD9CM,294.0
C0002631,ICD9CM,658.4
C0002631,ICD9CM,658.40
C0002726,ICD10CM,E85.9
C0002726,ICD10CM,E85
C0002726,ICD9CM,277.30
C0002726,ICD9CM,277.3
C0002726,ICD10,E85.9
C0002726,ICD10,E85
C0002736,ICD9CM,335.20
C0002736,ICD10CM,G12.21
C0002831,ICD10CM,B76.0
C0002831,ICD10,B76.0
C0002871,ICD9CM,285.9
C0002871,ICD10CM,D64.9
C0002871,ICD10,D64.9
C0002873,ICD9CM,285.2
C0002874,ICD9CM,284.9
C0002874,ICD10,D61.9
C0002874,ICD10CM,D61.9
C0002875,ICD10CM,D56.1
C0002876,ICD10CM,D64.4
C0002876,ICD10,D64.4
C0002878,ICD10,D55-D59.9
C0002878,ICD10CM,D55-D59
C0002879,ICD9CM,283.9
C0002879,ICD9CM,283
C0002879,ICD10CM,D59.9
C0002879,ICD10,D59
C0002879,ICD10,D59.9
C0002879,ICD10CM,D59
C0002880,ICD9CM,283.0
C0002881,ICD9CM,282.9
C0002881,ICD10,D58.9
C0002881,ICD9CM,282
C0002881,ICD10CM,D58.9
C0002884,ICD10CM,D50
C0002888,ICD10CM,D53.1
