44,mesna
61,beta-alanine
73,docosahexaenoate
74,4-aminobenzoic acid
94,5-hydroxytryptophan
99,6-aminocaproic acid
103,mercaptopurine
110,oxyquinoline
149,acebutolol
154,acenocoumarol
161,acetaminophen
162,acetanilide
164,acetate
167,acetazolamide
168,acetic acid
193,acetylcarnitine
194,acetylcholine
197,acetylcysteine
236,acidulated phosphate fluoride
270,spectinomycin
272,activated charcoal
281,aciclovir
296,adenosine
318,adenosine triphosphate
376,corticotropin
397,agar
426,alanine
430,albendazole
435,albuterol
448,ethanol
480,alfentanil
508,allantoin
519,allopurinol
535,alfa1 antitrypsin
569,eflornithine
594,alphaprodine
596,alprazolam
598,alprostadil
599,alseroxylon
612,aluminium hydroxide
620,amantadine
623,ambenonium
632,mitomycin
641,amikacin
644,amiloride
677,aminoglutethimide
683,aminolevulinic acid
689,aminophylline
703,amiodarone
704,amitriptyline
712,ammonium chloride
719,amobarbital
722,amoxapine
723,amoxicillin
725,amphetamine
732,amphotericin b
733,ampicillin
738,amrinone
739,amsacrine
742,amyl nitrite
743,amylases
865,antazoline
873,anthralin
1001,antipyrine
1009,antithrombin iii
1011,"lymphocyte immune globulin, anti-thymocyte globulin"
1043,apomorphine
1056,aprotinin
1091,arginine
1151,ascorbic acid
1156,asparaginase
1157,asparagine
1169,aspartic acid
1191,acetylsalicylic acid
1202,atenolol
1218,atracurium
1223,atropine
1227,auranofin
1251,azacitidine
1256,azathioprine
1266,azlocillin
1272,aztreonam
1291,bacitracin
1292,baclofen
1331,barium sulfate
1347,beclomethasone
1356,beeswax
1359,belladonna alkaloids
1369,bendroflumethiazide
1374,benserazide
1378,benzalkonium
1388,lindane
1390,benzethonium
1399,benzocaine
1406,benzoin resin
1418,benzoyl peroxide
1422,benzphetamine
1424,benzatropine
1425,benzydamine
1426,benzyl alcohol
1436,bepridil
1437,berberine
1511,betahistine
1512,betaine
1514,betamethasone
1520,betaxolol
1525,bezafibrate
1562,Bioflavonoids
1588,biotin
1589,biperiden
1596,bisacodyl
1598,dicoumarol
1599,bismuth
1622,bleomycin
1700,boric acid
1705,boron
1712,botulinum toxin type a
1749,bromazepam
1752,bromelains
1753,bromhexine
1760,bromocriptine
1767,brompheniramine
1808,bumetanide
1813,levobunolol
1815,bupivacaine
1819,buprenorphine
1827,buspirone
1828,busulfan
1841,butorphanol
1848,butylated hydroxytoluene
1886,caffeine
1889,calcifediol
1894,"1,25-dihydroxycholecalciferol"
1895,calcium
1897,calcium carbonate
1901,calcium chloride
1908,calcium gluconate
1909,calcium glycerophosphate
1910,calcium hydroxide
1919,calcium phosphate
1925,calcium sulfate
1952,camphor
1984,cantharidin
1992,capsaicin
1998,captopril
1999,carbachol
2002,carbamazepine
2015,carbenicillin
2017,carbenoxolone
2019,carbidopa
2020,carbimazole
2023,carbocisteine
2051,carboprost
2062,carboxymethylcellulose
2101,carisoprodol
2105,carmustine
2116,carteolol
2129,castor oil
2133,catalase
2176,cefaclor
2177,cefadroxil
2178,cefamandole
2180,cefazolin
2183,cefonicid
2184,cefoperazone
2186,cefotaxime
2187,cefotetan
2189,cefoxitin
2191,ceftazidime
2192,ceftizoxime
2193,ceftriaxone
2194,cefuroxime
2219,cellulase
2221,cellulose
2231,cefalexin
2239,cefradine
2286,cetylpyridinium
2296,charcoal
2346,chlorambucil
2348,chloramphenicol
2353,clorazepate
2354,chlorcyclizine
2356,chlordiazepoxide
2358,chlorhexidine
2372,chlormethiazole
2373,chlormezanone
2378,chlorobutanol
2382,proguanil
2388,chlorophyll
2393,chloroquine
2396,chlorothiazide
2397,chlorotrianisene
2399,chlorphenesin
2400,chlorpheniramine
2403,chlorpromazine
2404,chlorpropamide
2406,chlorprothixene
2408,chlortetracycline
2409,chlortalidone
2410,chlorzoxazone
2418,cholecalciferol
2427,cholera vaccine
2438,cholesterol
2447,cholestyramine resin
2449,choline
2473,chondroitin sulfates
2530,chymotrypsin
2540,cilastatin
2541,cimetidine
2550,cinoxacin
2551,ciprofloxacin
2555,cisplatin
2556,citalopram
2567,citrulline
2578,clemastine
2582,clindamycin
2590,clobetasol
2592,clofazimine
2596,clomifene
2597,clomipramine
2598,clonazepam
2599,clonidine
2603,clopamide
2623,clotrimazole
2626,clozapine
2635,coal tar
2653,cocaine
2669,cod liver oil
2670,codeine
2683,colchicine
2685,colestipol
2708,colistimethate
2709,colistin
2714,collagen
2837,copper
2839,copper gluconate
2878,cortisone
2890,cosyntropin
2898,coumarin
2907,creatine
2915,creosote
2955,curcumin
2968,cyclacillin
2970,cyclandelate
2977,cyclizine
3000,cyclopenthiazide
3001,cyclopentolate
3002,cyclophosphamide
3007,cycloserine
3008,ciclosporin
3013,cyproheptadine
3014,cyproterone
3022,cysteamine
3024,cysteine
3036,cystine
3041,cytarabine
3098,dacarbazine
3100,dactinomycin
3102,danazol
3105,dantrolene
3108,dapsone
3109,daunorubicin
3116,deanol
3131,deferoxamine
3143,dehydroisoandrosterone
3154,demeclocycline
3210,deoxyribonucleases
3226,dequalinium
3247,desipramine
3248,deslanoside
3251,desmopressin
3254,desonide
3255,desoximetasone
3256,desoxycorticosterone
3264,dexamethasone
3268,dexfenfluramine
3272,dextran 40
3274,dextran 70
3288,dexamfetamine
3289,dextromethorphan
3292,dextrothyroxine
3319,diatrizoate
3322,diazepam
3327,diazoxide
3339,cinchocaine
3350,clodronic acid
3353,dichlorphenamide
3355,diclofenac
3356,dicloxacillin
3361,dicyclomine
3363,zalcitabine
3364,didanosine
3368,dienestrol
3384,diethylcarbamazine
3389,amfepramone
3390,diethylstilbestrol
3393,diflunisal
3403,digitoxin
3407,digoxin
3415,dihydroergocornine
3416,dihydroergocristine
3418,dihydroergotamine
3423,hydromorphone
3429,dihydrotachysterol
3430,dihydroxyacetone
3435,diiodohydroxyquinoline
3443,diltiazem
3444,dimenhydrinate
3445,dimercaprol
3446,"meso-2,3-dimercaptosuccinic acid"
3455,dimethyl sulfoxide
3477,dinoprost
3478,dinoprostone
3489,diosmin
3498,diphenhydramine
3500,diphenoxylate
3521,dipyridamole
3541,disopyramide
3551,distigmine
3554,disulfiram
3616,dobutamine
3626,domperidone
3628,dopamine
3634,dosulepin
3637,doxapram
3638,doxepin
3639,doxorubicin
3640,doxycycline
3642,doxylamine
3648,droperidol
3706,dydrogesterone
3714,diprophylline
3743,econazole
3752,edrophonium
3755,edetic acid
3820,emetine
3827,enalapril
3829,enalaprilat
3920,enflurane
3925,enoxacin
3966,ephedrine
3992,epinephrine
3995,epirubicin
4018,ergocalciferol
4021,ergometrine
4023,ergot alkaloids
4024,ergoloid mesylates
4025,ergotamine
