ICD9CM,00-99.99,
ICD9CM,00.1,Pharmaceuticals
ICD9CM,00.6,Procedures on blood vessels
ICD9CM,00.66,PTCA
ICD9CM,00.94,Intra-op neurophys montr
ICD9CM,001,Cholera
ICD9CM,001-009.99,INTESTINAL INFECTIOUS DISEASES
ICD9CM,001-139.99,INFECTIOUS AND PARASITIC DISEASES
ICD9CM,001.0,Cholera due to Vibrio cholerae
ICD9CM,001.9,Cholera NOS
ICD9CM,002,Typhoid and paratyphoid fevers
ICD9CM,002.0,Typhoid fever
ICD9CM,002.9,"Paratyphoid fever, unspecified"
ICD9CM,003.0,Salmonella gastroenteritis
ICD9CM,003.9,Salmonella infection NOS
ICD9CM,004,Shigellosis
ICD9CM,004.0,Shigella dysenteriae
ICD9CM,004.1,Shigella flexneri
ICD9CM,004.2,Shigella boydii
ICD9CM,004.3,Shigella sonnei
ICD9CM,004.9,Shigellosis NOS
ICD9CM,005.1,Botulism food poisoning
ICD9CM,005.9,Food poisoning NOS
ICD9CM,006,Amebiasis
ICD9CM,006.3,Amebic liver abscess
ICD9CM,006.9,Amebiasis NOS
ICD9CM,007.0,Balantidiasis
ICD9CM,007.1,Giardiasis
ICD9CM,007.2,Coccidiosis
ICD9CM,007.4,Cryptosporidiosis
ICD9CM,007.5,Cyclosporiasis
ICD9CM,007.8,Other specified protozoal intestinal diseases
ICD9CM,007.9,Unspecified protozoal intestinal disease
ICD9CM,008.41,Intestinal infection due to staphylococcus
ICD9CM,008.43,Intestinal infection due to campylobacter
ICD9CM,008.45,Intestinal infection due to clostridium difficile
ICD9CM,008.5,Bacterial enteritis; unspecified
ICD9CM,008.6,Enteritis due to specified virus
ICD9CM,008.61,Enteritis due to rotavirus
ICD9CM,009,Ill-defined intestinal infections
ICD9CM,009.0,Infectious colitis; enteritis; and gastroenteritis
ICD9CM,009.2,Infectious diarrhea
ICD9CM,009.3,Diarrhea of presumed infectious origin
ICD9CM,01-05.99,OPERATIONS ON THE NERVOUS SYSTEM
ICD9CM,010,Primary tuberculous infection
ICD9CM,010-018.99,
ICD9CM,010.0,Primary tuberculous infection
ICD9CM,010.90,"Primary tuberculous infection, unspecified, unspecified"
ICD9CM,011,Pulmonary tuberculosis
ICD9CM,011.9,Unspecified pulmonary tuberculosis
ICD9CM,011.90,Unspecified pulmonary tuberculosis; unspecified examination
ICD9CM,013.0,Tuberculous meningitis
ICD9CM,013.00,Tuberculous meningitis unspecified examination
ICD9CM,014.0,Tuberculous peritonitis
ICD9CM,014.00,"Tuberculous peritonitis, unspecified"
ICD9CM,015,Tuberculosis of bones and joints
ICD9CM,015.8,Tuberculosis of other specified joint
ICD9CM,015.9,Tuberculosis of unspecified bones and joints
ICD9CM,015.90,"Tuberculosis of unspecified bones and joints, unspecified"
ICD9CM,016,Tuberculosis of genitourinary system
ICD9CM,016.3,Tuberculosis of other urinary organs
ICD9CM,016.30,"Tuberculosis of other urinary organs, unspecified"
ICD9CM,016.9,"Genitourinary tuberculosis, unspecified"
ICD9CM,016.90,"Genitourinary tuberculosis, unspecified, unspecified"
ICD9CM,017.00,Tuberculosis of skin and subcutaneous cellular tissue; unspecified examination
ICD9CM,018,Miliary tuberculosis
ICD9CM,018.9,Unspecified miliary tuberculosis
ICD9CM,018.90,Miliary TB NOS-unspec
ICD9CM,020,Plague
ICD9CM,020.0,Bubonic plague
ICD9CM,020.2,Septicemic plague
ICD9CM,020.9,Plague NOS
ICD9CM,021,Tularemia
ICD9CM,021.9,Tularemia NOS
ICD9CM,022,Anthrax
ICD9CM,022.0,Cutaneous anthrax
ICD9CM,022.1,Pulmonary anthrax
